rule,severity,Year,Line_Key,Intitule,detail
major_virement,medium,2025.0,1212006000-300-00-20-53,Frais d'hébergement et de restauration,net virement = +430% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-54,"Publicité, impression et insertion",net virement = +131% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-54,"Publicité, impression et insertion",net virement = +159% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-55,Abonnement et documentation,net virement = +165% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-55,Abonnement et documentation,net virement = +198% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-55,Abonnement et documentation,net virement = -54% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-55,Abonnement et documentation,net virement = -80% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-56,Achat de produits  énergétiques pour chauffage et cuisson,net virement = +78% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-56,Achat de produits  énergétiques pour chauffage et cuisson,net virement = -81% of initial credits
major_virement,medium,2021.0,1212006000-300-00-20-60,Assistance au titre du pélerinage aux Lieux Saints de l'Islam,net virement = -100% of initial credits
major_virement,medium,2023.0,1212006000-300-00-20-71,"Frais de formation, d'organisation et de participation aux séminaires, stages et congrés",net virement = +61% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-71,"Frais de formation, d'organisation et de participation aux séminaires, stages et congrés",net virement = -77% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-71,"Frais de formation, d'organisation et de participation aux séminaires, stages et congrés",net virement = -55% of initial credits
major_virement,medium,2024.0,1212006000-300-00-20-73,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-300-00-20-73,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2022.0,1212006000-300-00-20-84,Subvention aux associations et aux amicales professionnelles des magistrats et fonctionnaires du Ministère de la Justice,net virement = -64% of initial credits
major_virement,medium,2021.0,1212006000-300-00-40-10,Maintenance et conservation des archives,net virement = +55% of initial credits
major_virement,medium,2022.0,1212006000-300-00-40-10,Maintenance et conservation des archives,net virement = +193% of initial credits
major_virement,medium,2023.0,1212006000-300-00-40-10,Maintenance et conservation des archives,net virement = +302% of initial credits
major_virement,medium,2024.0,1212006000-300-00-40-10,Maintenance et conservation des archives,net virement = -87% of initial credits
major_virement,medium,2025.0,1212006000-300-00-40-10,Maintenance et conservation des archives,net virement = +101% of initial credits
major_virement,medium,2024.0,1212006000-301-00-10-21,Taxes postales et frais d'affranchissement,net virement = +600% of initial credits
major_virement,medium,2025.0,1212006000-301-00-10-21,Taxes postales et frais d'affranchissement,net virement = +150% of initial credits
major_virement,medium,2021.0,1212006000-301-00-10-22,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-301-00-10-22,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-301-00-10-23,Redevances d'eau,net virement = +400% of initial credits
major_virement,medium,2022.0,1212006000-301-00-10-23,Redevances d'eau,net virement = +180% of initial credits
major_virement,medium,2024.0,1212006000-301-00-10-23,Redevances d'eau,net virement = +200% of initial credits
major_virement,medium,2021.0,1212006000-301-00-10-24,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2022.0,1212006000-301-00-10-24,Redevances d'électricité,net virement = +90% of initial credits
major_virement,medium,2023.0,1212006000-301-00-10-24,Redevances d'électricité,net virement = +500% of initial credits
major_virement,medium,2024.0,1212006000-301-00-10-24,Redevances d'électricité,net virement = +400% of initial credits
major_virement,medium,2025.0,1212006000-301-00-10-24,Redevances d'électricité,net virement = +85% of initial credits
major_virement,medium,2021.0,1212006000-301-00-10-31,"Fournitures de bureau, produits d'impression, papeterie et imprimés",net virement = +391% of initial credits
major_virement,medium,2024.0,1212006000-301-00-10-41,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +97% of initial credits
major_virement,medium,2025.0,1212006000-301-00-10-41,Indemnités de déplacement et changement de résidence à l'intérieur du Royaume,net virement = +105% of initial credits
major_virement,medium,2022.0,1212006000-301-00-10-51,Règlement et exécution des décisions judiciaires et administratives,net virement = +304% of initial credits
major_virement,medium,2023.0,1212006000-301-00-10-51,Règlement et exécution des décisions judiciaires et administratives,net virement = -68% of initial credits
major_virement,medium,2024.0,1212006000-301-00-10-51,Règlement et exécution des décisions judiciaires et administratives,net virement = +67% of initial credits
major_virement,medium,2025.0,1212006000-301-00-10-51,Règlement et exécution des décisions judiciaires et administratives,net virement = +236% of initial credits
major_virement,medium,2023.0,1212006000-301-00-10-62,Subvention aux associations de droit non gouvernementales,net virement = -98% of initial credits
major_virement,medium,2023.0,1212006000-301-00-20-20,Indemnités allouées aux huissiers de justice en matière pénale,net virement = +50% of initial credits
major_virement,medium,2024.0,1212006000-301-00-20-31,Taxes postales et frais d'affranchissement,net virement = +600% of initial credits
major_virement,medium,2025.0,1212006000-301-00-20-31,Taxes postales et frais d'affranchissement,net virement = +150% of initial credits
major_virement,medium,2021.0,1212006000-301-00-20-32,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2022.0,1212006000-301-00-20-32,Taxes et redevances de télécommunications,net virement = -100% of initial credits
major_virement,medium,2021.0,1212006000-301-00-20-33,Redevances d'eau,net virement = +400% of initial credits
major_virement,medium,2022.0,1212006000-301-00-20-33,Redevances d'eau,net virement = +180% of initial credits
