Year,Line_Key,Chap,Prog,Reg,Proj,Lb,Depth,Level,Intitule,Credits_Ouverts_Vises,Total_Engage_Vises,Credits_Ouverts,Virements_Plus,Virements_Moins,Total_Credits,Total_Engage
2021,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,0.0,350000.0,0.0
2022,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,0.0,350000.0,0.0
2023,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,0.0,350000.0,0.0
2024,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,0.0,350000.0,0.0
2025,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,300000.0,50000.0,0.0
2026,1211006000-300-00-10-62,,,,,62.0,5,Ligne,Aide exceptionnelle au logement,350000,0.0,350000.0,0.0,0.0,350000.0,0.0
2021,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2022,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2023,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2024,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2025,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2026,1211006000-300-00-10-64,,,,,64.0,5,Ligne,Indemnités aux juges suppléants des juridictions communales et d'arrondissements,80000,0.0,80000.0,0.0,0.0,80000.0,0.0
2021,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1326250.0,1457000.0,0.0,10000.0,1447000.0,1326250.0
2022,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1282500.0,1457000.0,0.0,0.0,1457000.0,1282500.0
2023,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1240000.0,1457000.0,0.0,0.0,1457000.0,1240000.0
2024,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1257000.0,1457000.0,0.0,0.0,1457000.0,1257000.0
2025,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1150791.66,1457000.0,0.0,100000.0,1357000.0,1150791.66
2026,1211006000-300-00-10-66,,,,,66.0,5,Ligne,Indemnité forfaitaire pour utilisation dans l'intérêt du service de la voiture automobile personnelle,1457000,1181250.0,1457000.0,0.0,0.0,1457000.0,1181250.0
2021,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux juges et aux secrétaires greffiers,18000000,4894300.0,18000000.0,0.0,0.0,18000000.0,4894300.0
2022,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux juges et aux secrétaires greffiers,18000000,17986300.0,18000000.0,0.0,0.0,18000000.0,17986300.0
2023,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux secrétaires greffiers,10600000,22598060.0,10600000.0,12000000.0,0.0,22600000.0,22598060.0
2024,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux secrétaires greffiers,13000000,15701400.0,13000000.0,5000000.0,0.0,18000000.0,15701400.0
2025,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux secrétaires greffiers,15000000,14994900.0,15000000.0,0.0,0.0,15000000.0,14994900.0
2026,1211006000-300-00-10-67,,,,,67.0,5,Ligne,Indemnités de permanence aux secrétaires greffiers,15000000,4512300.0,15000000.0,0.0,0.0,15000000.0,4512300.0
2021,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2022,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2023,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2024,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2025,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2026,1211006000-300-00-10-71,,,,,71.0,5,Ligne,"Indemnités de caisse des regisseurs, billeteurs et payeurs délégués",2000,0.0,2000.0,0.0,0.0,2000.0,0.0
2021,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2022,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2023,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2024,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2025,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2026,1211006000-300-00-10-72,,,,,72.0,5,Ligne,Gratifications aux chauffeurs,26000,0.0,26000.0,0.0,0.0,26000.0,0.0
2021,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,272528000,266944847.24,272528000.0,84483435.0,84483435.0,272528000.0,266944847.24
2022,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,272528000,270607562.11,272528000.0,74744021.0,74744021.0,272528000.0,270607562.11
2023,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,322528000,319775221.32,322528000.0,85154276.0,85154276.0,322528000.0,319775221.32
2024,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,292528000,359631434.01,292528000.0,92293860.0,92293860.0,362528000.0,359631434.01
2025,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,341449000,355444777.93,341449000.0,88906000.0,88906000.0,356449000.0,355444777.93
2026,1212006000,1212006000.0,,,,,1,Chapitre,Budget de Fonctionnement -Matériel et Dépenses diverses-,376449000,226282749.9,376449000.0,30952000.0,30952000.0,376449000.0,226282749.9
2021,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,149428000,140426330.01,4717208000.0,10000.0,10000.0,4809208000.0,4781379728.76
2022,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,145428000,144510683.07,5020563000.0,14000000.0,14000000.0,5020563000.0,5014150298.43
2023,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,180628000,179937665.98,3175472000.0,12000000.0,12000000.0,3175472000.0,3071724920.04
2024,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,145728000,175603145.93,3179307000.0,9500000.0,9500000.0,3179307000.0,3171460390.71
2025,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,169649000,158019117.46,3419812000.0,6000000.0,6000000.0,3419812000.0,3417594788.2
2026,1212006000-300,,300.0,,,,2,Programme,SOUTIEN ET PILOTAGE,174649000,83759088.4,4120912000.0,0.0,0.0,4120912000.0,3976225539.57
